logradouro;bairro;cidade;taxa;Area;quartos;suites;banheiros;vagas;preco;somatorio_comodos;area_comodo;preco_area;Zona
;Ponta Negra; Natal; 000000590; 000092; 0003; 002; 01; 000000000002; 000000450000;6;15;4891;Zona Sul  
;Capim Macio; Natal; 000001100; 000196; 0003; 003; 05; 000000000004; 000001260000;11;17;6428;Zona Sul  
;Tirol; Natal; 000000900; 000098; 0003; 001; 02; 000000000001; 000000380000;6;16;3877;Zona Leste
;Tirol; Natal; 000000390; 000060; 0002; 001; 01; 000000000001; 000000350000;4;15;5833;Zona Leste
;Lagoa Nova; Natal; 000000700; 000137; 0003; 002; 03; 000000000002; 000000500000;8;17;3649;Zona Sul  
;Candelária; Natal; 000000850; 000200; 0003; 003; 01; 000000000002; 000000450000;7;28;2250;Zona Sul  
;Ponta Negra; Natal; 000000350; 000051; 0002; 001; 01; 000000000001; 000000230000;4;12;4509;Zona Sul  
;Ribeira; Natal; 000000350; 000057; 0002; 001; 01; 000000000001; 000000250000;4;14;4385;Zona Leste
;Tirol; Natal; 000001400; 000160; 0003; 002; 01; 000000000002; 000000400000;6;26;2500;Zona Leste
;Lagoa Nova; Natal; 000000814; 000238; 0004; 004; 05; 000000000003; 000001100000;13;18;4621;Zona Sul  
;Capim Macio; Natal; 000000437; 000056; 0002; 001; 01; 000000000002; 000000310000;4;14;5535;Zona Sul  
;Ponta Negra; Natal; 000000485; 000056; 0002; 001; 01; 000000000001; 000000135000;4;14;2410;Zona Sul  
;Lagoa Nova; Natal; 000000770; 000107; 0003; 003; 04; 000000000002; 000000450000;10;10;4205;Zona Sul  
;Ponta Negra; Natal; 000000550; 000056; 0001; 001; 02; 000000000001; 000000390000;4;14;6964;Zona Sul  
;Ponta Negra; Natal; 000000080; 000070; 0002; 001; 01; 000000000001; 000000125000;4;17;1785;Zona Sul  
;Tirol; Natal; 000000800; 000139; 0003; 003; 01; 000000000002; 000000789900;7;19;5682;Zona Leste
;Tirol; Natal; 000001150; 000175; 0003; 003; 01; 000000000002; 000000530000;7;25;3028;Zona Leste
;Ponta Negra; Natal; 000000490; 000054; 0002; 001; 01; 000000000001; 000000179000;4;13;3314;Zona Sul  
;Nossa Senhora de Nazaré; Natal; 000000485; 000069; 0003; 001; 02; 000000000002; 000000370000;6;11;5362;Zona Oeste
;Areia Preta; Natal; 000001850; 000280; 0004; 004; 05; 000000000004; 000002291000;13;21;8182;Zona Leste
;Capim Macio; Natal; 000000265; 000055; 0002; 001; 02; 000000000001; 000000324000;5;11;5890;Zona Sul  
;Petrópolis; Natal; 000001800; 000270; 0004; 004; 05; 000000000003; 000000800000;13;20;2962;Zona Leste
;Capim Macio; Natal; 000000720; 000142; 0003; 002; 01; 000000000002; 000000950000;6;23;6690;Zona Sul  
;Ponta Negra; Natal; 000000300; 000060; 0002; 001; 02; 000000000001; 000000290000;5;12;4833;Zona Sul  
;Tirol; Natal; 000000650; 000091; 0003; 002; 03; 000000000002; 000000420000;8;11;4615;Zona Leste
;Ponta Negra; Natal; 000002700; 000052; 0002; 002; 02; 000000000001; 000000220000;6;8;4230;Zona Sul  
;Pitimbu; Natal; 000000530; 000194; 0004; 004; 05; 000000000002; 000000410000;13;14;2113;Zona Sul  
;Capim Macio; Natal; 000000500; 000092; 0003; 001; 02; 000000000002; 000000449900;6;15;4890;Zona Sul  
;Lagoa Nova; Natal; 000000815; 000238; 0004; 004; 02; 000000000003; 000000939000;10;23;3945;Zona Sul  
;Candelária; Natal; 000000420; 000085; 0002; 002; 03; 000000000001; 000000165000;7;12;1941;Zona Sul  
;Ponta Negra; Natal; 000000450; 000116; 0004; 002; 03; 000000000002; 000000650000;9;12;5603;Zona Sul  
;Lagoa Nova; Natal; 000001000; 000143; 0003; 001; 02; 000000000002; 000000415000;6;23;2902;Zona Sul  
;Capim Macio; Natal; 000000540; 000067; 0002; 001; 01; 000000000001; 000000270000;4;16;4029;Zona Sul  
;Capim Macio; Natal; 000000820; 000098; 0003; 002; 01; 000000000002; 000000399000;6;16;4071;Zona Sul  
;Candelária; Natal; 000001000; 000175; 0003; 003; 05; 000000000003; 000000799900;11;15;4570;Zona Sul  
;Capim Macio; Natal; 000000648; 000107; 0003; 001; 03; 000000000002; 000000520000;7;15;4859;Zona Sul  
;Ribeira; Natal; 000000305; 000058; 0002; 002; 02; 000000000002; 000000256000;6;9;4413;Zona Leste
;Capim Macio; Natal; 000000090; 000068; 0003; 001; 02; 000000000001; 000000125000;6;11;1838;Zona Sul  
;Lagoa Nova; Natal; 000000400; 000067; 0002; 001; 02; 000000000001; 000000284900;5;13;4252;Zona Sul  
;Lagoa Nova; Natal; 000000500; 000099; 0003; 002; 04; 000000000002; 000000489900;9;11;4948;Zona Sul  
;Capim Macio; Natal; 000000450; 000067; 0002; 001; 02; 000000000001; 000000189000;5;13;2820;Zona Sul  
;Capim Macio; Natal; 000001050; 000196; 0004; 003; 05; 000000000003; 000001490000;12;16;7602;Zona Sul  
;Ponta Negra; Natal; 000000350; 000075; 0003; 001; 02; 000000000001; 000000390000;6;12;5200;Zona Sul  
;Candelária; Natal; 000002000; 000237; 0005; 004; 05; 000000000003; 000000730000;14;16;3080;Zona Sul  
;Neópolis; Natal; 000000750; 000187; 0004; 003; 01; 000000000004; 000000900000;8;23;4812;Zona Sul  
;Ponta Negra; Natal; 000000300; 000042; 0001; 001; 01; 000000000001; 000000179000;3;14;4261;Zona Sul  
;Areia Preta; Natal; 000001800; 000192; 0004; 003; 04; 000000000004; 000000800000;11;17;4166;Zona Leste
;Ponta Negra; Natal; 000000450; 000117; 0003; 001; 04; 000000000003; 000000590000;8;14;5042;Zona Sul  
;Areia Preta; Natal; 000001300; 000180; 0003; 003; 04; 000000000003; 000000980000;10;18;5444;Zona Leste
;Petrópolis; Natal; 000001100; 000170; 0003; 003; 05; 000000000002; 000000600000;11;15;3529;Zona Leste
;Capim Macio; Natal; 000000490; 000072; 0003; 001; 01; 000000000002; 000000190000;5;14;2638;Zona Sul  
;Tirol; Natal; 000000900; 000264; 0004; 002; 02; 000000000002; 000000800000;8;33;3030;Zona Leste
;Capim Macio; Natal; 000000350; 000055; 0002; 001; 02; 000000000002; 000000230000;5;11;4181;Zona Sul  
;Pitimbu; Natal; 000000460; 000089; 0003; 001; 03; 000000000002; 000000360000;7;12;4044;Zona Sul  
;Barro Vermelho; Natal; 000001000; 000139; 0003; 002; 04; 000000000002; 000000450000;9;15;3237;Zona Leste
;Tirol; Natal; 000000490; 000057; 0002; 001; 02; 000000000001; 000000240000;5;11;4210;Zona Leste
;Capim Macio; Natal; 000000620; 000100; 0003; 002; 03; 000000000002; 000000430000;8;12;4300;Zona Sul  
;Ponta Negra; Natal; 000000260; 000054; 0001; 001; 01; 000000000001; 000000255000;3;18;4722;Zona Sul  
;Candelária; Natal; 000000150; 000091; 0003; 001; 01; 000000000001; 000000190000;5;18;2087;Zona Sul  
;Capim Macio; Natal; 000000680; 000100; 0003; 001; 03; 000000000002; 000000450000;7;14;4500;Zona Sul  
;Tirol; Natal; 000001100; 000160; 0004; 001; 03; 000000000001; 000000280000;8;20;1750;Zona Leste
;Lagoa Nova; Natal; 000001000; 000100; 0003; 002; 03; 000000000002; 000000240000;8;12;2400;Zona Sul  
;Tirol; Natal; 000000550; 000096; 0003; 001; 03; 000000000002; 000000650000;7;13;6770;Zona Leste
;Neópolis; Natal; 000000420; 000092; 0004; 001; 03; 000000000002; 000000380000;8;11;4130;Zona Sul  
;Capim Macio; Natal; 000000800; 000084; 0003; 001; 01; 000000000002; 000000330000;5;16;3928;Zona Sul  
;Capim Macio; Natal; 000000500; 000083; 0003; 001; 03; 000000000001; 000000290000;7;11;3493;Zona Sul  
;Petrópolis; Natal; 000001750; 000208; 0004; 004; 04; 000000000003; 000000900000;12;17;4326;Zona Leste
;Capim Macio; Natal; 000001100; 000196; 0003; 003; 05; 000000000004; 000001349000;11;17;6882;Zona Sul  
;Lagoa Nova; Natal; 000000450; 000080; 0003; 001; 01; 000000000001; 000000248000;5;16;3100;Zona Sul  
;Ponta Negra; Natal; 000000310; 000084; 0003; 001; 02; 000000000002; 000000349900;6;14;4165;Zona Sul  
;Ponta Negra; Natal; 000000310; 000090; 0003; 001; 01; 000000000002; 000000375000;5;18;4166;Zona Sul  
;Ponta Negra; Natal; 000000518; 000064; 0002; 001; 02; 000000000001; 000000276406;5;12;4318;Zona Sul  
;Candelária; Natal; 000000500; 000080; 0003; 001; 02; 000000000001; 000000230000;6;13;2875;Zona Sul  
;Neópolis; Natal; 000000140; 000080; 0003; 001; 02; 000000000001; 000000190000;6;13;2375;Zona Sul  
;Ponta Negra; Natal; 000000260; 000053; 0002; 001; 02; 000000000001; 000000255000;5;10;4811;Zona Sul  
;Capim Macio; Natal; 000000750; 000100; 0003; 001; 03; 000000000002; 000000410000;7;14;4100;Zona Sul  
;Petrópolis; Natal; 000003000; 000503; 0004; 004; 06; 000000000004; 000003000000;14;35;5964;Zona Leste
;Tirol; Natal; 000000730; 000103; 0003; 003; 04; 000000000002; 000000450000;10;10;4368;Zona Leste
;Lagoa Nova; Natal; 000001500; 000250; 0003; 003; 05; 000000000003; 000000800000;11;22;3200;Zona Sul  
;Ponta Negra; Natal; 000000750; 000110; 0003; 001; 03; 000000000002; 000000500000;7;15;4545;Zona Sul  
;Ponta Negra; Natal; 000000750; 000055; 0002; 001; 02; 000000000001; 000000230000;5;11;4181;Zona Sul  
;Ponta Negra; Natal; 000000326; 000059; 0002; 001; 02; 000000000001; 000000290000;5;11;4915;Zona Sul  
;PARNAMIRIM; Natal; 000000300; 000075; 0002; 001; 02; 000000000002; 000000180000;5;15;2400;Vazio     
;Planalto; Natal; 000000140; 000055; 0002; 001; 01; 000000000001; 000000138000;4;13;2509;Zona Sul  
;Tirol; Natal; 000000530; 000100; 0003; 002; 03; 000000000002; 000000285000;8;12;2850;Zona Leste
;Planalto; Natal; 000000270; 000062; 0002; 001; 02; 000000000001; 000000110000;5;12;1774;Zona Sul  
;Ribeira; Natal; 000000335; 000058; 0002; 001; 02; 000000000002; 000000240000;5;11;4137;Zona Leste
;Nova Descoberta; Natal; 000000320; 000072; 0003; 001; 02; 000000000001; 000000125000;6;12;1736;Zona Sul  
;Planalto; Natal; 000000220; 000055; 0002; 001; 02; 000000000001; 000000155000;5;11;2818;Zona Sul  
;Tirol; Natal; 000000580; 000098; 0003; 001; 03; 000000000002; 000000525000;7;14;5357;Zona Leste
;Lagoa Nova; Natal; 000000900; 000256; 0004; 004; 05; 000000000003; 000000850000;13;19;3320;Zona Sul  
;Ponta Negra; Natal; 000001150; 000230; 0003; 003; 01; 000000000003; 000001000000;7;32;4347;Zona Sul  
;Candelária; Natal; 000000600; 000377; 0004; 004; 05; 000000000002; 000001800000;13;29;4774;Zona Sul  
;Capim Macio; Natal; 000000700; 000100; 0003; 001; 01; 000000000002; 000000380000;5;20;3800;Zona Sul  
;Capim Macio; Natal; 000000500; 000085; 0003; 001; 02; 000000000001; 000000290000;6;14;3411;Zona Sul  
;Lagoa Nova; Natal; 000001100; 000100; 0003; 001; 03; 000000000002; 000000300000;7;14;3000;Zona Sul  
;Tirol; Natal; 000000366; 000055; 0002; 001; 01; 000000000001; 000000330000;4;13;6000;Zona Leste
;Lagoa Nova; Natal; 000000450; 000080; 0003; 001; 01; 000000000002; 000000240000;5;16;3000;Zona Sul  
;Tirol; Natal; 000001200; 000174; 0003; 003; 01; 000000000002; 000000850000;7;24;4885;Zona Leste
;Tirol; Natal; 000000900; 000165; 0003; 003; 04; 000000000003; 000001299000;10;16;7872;Zona Leste
;Capim Macio; Natal; 000001000; 000196; 0004; 003; 05; 000000000004; 000001350000;12;16;6887;Zona Sul  
;Candelária; Natal; 000000350; 000094; 0003; 001; 02; 000000000001; 000000229000;6;15;2436;Zona Sul  
;Pitimbu; Natal; 000000298; 000067; 0002; 001; 01; 000000000001; 000000260000;4;16;3880;Zona Sul  
;Capim Macio; Natal; 000000580; 000142; 0003; 003; 04; 000000000002; 000000720000;10;14;5070;Zona Sul  
;Barro Vermelho; Natal; 000001000; 000124; 0003; 001; 03; 000000000002; 000000390000;7;17;3145;Zona Leste
;Planalto; Natal; 000000150; 000061; 0002; 001; 02; 000000000001; 000000140000;5;12;2295;Zona Sul  
;Tirol; Natal; 000001500; 000230; 0004; 004; 01; 000000000002; 000000850000;9;25;3695;Zona Leste
;Ponta Negra; Natal; 000000650; 000094; 0003; 001; 01; 000000000002; 000000300000;5;18;3191;Zona Sul  
;Ponta Negra; Natal; 000000290; 000046; 0001; 001; 01; 000000000001; 000000250000;3;15;5434;Zona Sul  
;Capim Macio; Natal; 000000270; 000116; 0003; 002; 03; 000000000002; 000000230000;8;14;1982;Zona Sul  
;Capim Macio; Natal; 000000420; 000109; 0004; 002; 04; 000000000002; 000000490000;10;10;4495;Zona Sul  
;Ponta Negra; Natal; 000000350; 000090; 0003; 001; 02; 000000000002; 000000390000;6;15;4333;Zona Sul  
;Candelária; Natal; 000000860; 000190; 0003; 002; 01; 000000000002; 000000690000;6;31;3631;Zona Sul  
;Ponta Negra; Natal; 000000650; 000025; 0001; 001; 01; 000000000001; 000000150000;3;8;6000;Zona Sul  
;Capim Macio; Natal; 000000300; 000067; 0002; 001; 02; 000000000002; 000000350000;5;13;5223;Zona Sul  
;Ponta Negra; Natal; 000001100; 000051; 0002; 001; 01; 000000000001; 000000360000;4;12;7058;Zona Sul  
;Candelária; Natal; 000000900; 000150; 0004; 002; 03; 000000000003; 000000700000;9;16;4666;Zona Sul  
;Ponta Negra; Natal; 000000700; 000109; 0003; 001; 03; 000000000002; 000000499000;7;15;4577;Zona Sul  
;Ponta Negra; Natal; 000000700; 000114; 0003; 001; 01; 000000000002; 000000600000;5;22;5263;Zona Sul  
;Ponta Negra; Natal; 000001015; 000230; 0003; 002; 05; 000000000003; 000001350000;10;23;5869;Zona Sul  
;PARNAMIRIM; Natal; 000000256; 000067; 0003; 001; 01; 000000000001; 000000250000;5;13;3731;Vazio     
;Barro Vermelho; Natal; 000000120; 000117; 0003; 001; 03; 000000000001; 000000280000;7;16;2393;Zona Leste
;Ponta Negra; Natal; 000000490; 000456; 0004; 004; 01; 000000000004; 000001500000;9;50;3289;Zona Sul  
;Candelária; Natal; 000000450; 000049; 0002; 001; 01; 000000000001; 000000230000;4;12;4693;Zona Sul  
;Neópolis; Natal; 000000400; 000058; 0002; 001; 01; 000000000001; 000000229000;4;14;3948;Zona Sul  
;Nova Descoberta; Natal; 000000670; 000130; 0003; 001; 02; 000000000002; 000000180000;6;21;1384;Zona Sul  
;Lagoa Nova; Natal; 000000860; 000130; 0003; 001; 03; 000000000002; 000000340000;7;18;2615;Zona Sul  
;Areia Preta; Natal; 000001500; 000230; 0004; 004; 01; 000000000003; 000000600000;9;25;2608;Zona Leste
;Petrópolis; Natal; 000001200; 000230; 0004; 003; 04; 000000000004; 000000565000;11;20;2456;Zona Leste
;Lagoa Nova; Natal; 000000620; 000078; 0002; 001; 03; 000000000002; 000000179900;6;13;2306;Zona Sul  
;Ponta Negra; Natal; 000001115; 000230; 0003; 002; 05; 000000000003; 000001350000;10;23;5869;Zona Sul  
Avenida Presidente Getúlio Vargas;Petrópolis; Natal; 000001700; 000220; 0004; 002; 04; 000000000003; 000000900000;10;22;4090;Zona Leste
Rua da Lagosta;Ponta Negra; Natal; 000000500; 000055; 0002; 001; 02; 000000000001; 000000170000;5;11;3090;Zona Sul  
Rua Jaguarari, 5200;Candelária; Natal; 000001300; 000450; 0005; 003; 06; 000000000004; 000001700000;14;32;3777;Zona Sul  
Avenida Campos Sales;Tirol; Natal; 000000650; 000096; 0003; 001; 03; 000000000002; 000000670000;7;13;6979;Zona Leste
Rua Eletricista João Trajano da Silva, 1513;Lagoa Nova; Natal; 000000880; 000111; 0003; 003; 03; 000000000002; 000000380000;9;12;3423;Zona Sul  
Rua Antônio Madruga, 1959;Capim Macio; Natal; 000000270; 000055; 0002; 001; 02; 000000000001; 000000250000;5;11;4545;Zona Sul  
Rua Doutor Francisco Leite de Carvalho, 2377;Lagoa Nova; Natal; 000000650; 000104; 0003; 001; 04; 000000000002; 000000499000;8;13;4798;Zona Sul  
Rua Antídio de Azevedo;Lagoa Nova; Natal; 000000900; 000180; 0003; 003; 01; 000000000003; 000000865500;7;25;4808;Zona Sul  
Rua Antídio de Azevedo;Lagoa Nova; Natal; 000000900; 000180; 0003; 003; 01; 000000000003; 000000856800;7;25;4760;Zona Sul  
Rua Antídio de Azevedo, 1935;Lagoa Nova; Natal; 000000850; 000166; 0004; 004; 01; 000000000003; 000000900000;9;18;5421;Zona Sul  
Rua Dom José Tomaz, 1126;Tirol; Natal; 000000350; 000058; 0002; 001; 02; 000000000001; 000000280000;5;11;4827;Zona Leste
Rua Praia de Camboinhas;Ponta Negra; Natal; 000000448; 000180; 0003; 003; 03; 000000000001; 000001650000;9;20;9166;Zona Sul  
Rua Doutor Osvaldo Fortes do Rego;Ponta Negra; Natal; 000000418; 000067; 0003; 001; 03; 000000000002; 000000309000;7;9;4611;Zona Sul  
Rua Doutor Osvaldo Fortes do Rego;Ponta Negra; Natal; 000000315; 000052; 0002; 001; 02; 000000000001; 000000229000;5;10;4403;Zona Sul  
Rua Francisco Maia Sobrinho;Lagoa Nova; Natal; 000000800; 000130; 0003; 003; 04; 000000000003; 000000653000;10;13;5023;Zona Sul  
Avenida das Conchas;Ponta Negra; Natal; 000002542; 000052; 0002; 002; 02; 000000000001; 000000235000;6;8;4519;Zona Sul  
Rua Princesa Isabel;Cidade Alta; Natal; 000000542; 000071; 0003; 001; 03; 000000000002; 000000306000;7;10;4309;Zona Leste
Avenida Prudente de Morais;Lagoa Nova; Natal; 000000870; 000142; 0003; 003; 05; 000000000003; 000000882000;11;12;6211;Zona Sul  
Avenida Presidente Getúlio Vargas;Petrópolis; Natal; 000002500; 000480; 0004; 004; 06; 000000000004; 000005290000;14;34;11020;Zona Leste
Rua Doutor Manoel Dantas;Petrópolis; Natal; 000002100; 000503; 0004; 004; 05; 000000000004; 000002199000;13;38;4371;Zona Leste
Rua Antônio Madruga;Capim Macio; Natal; 000000270; 000055; 0002; 001; 02; 000000000002; 000000290000;5;11;5272;Zona Sul  
Rua Antídio de Azevedo;Lagoa Nova; Natal; 000001249; 000287; 0004; 004; 04; 000000000004; 000001468000;12;23;5114;Zona Sul  
Avenida Governador Sílvio Pedroza;Areia Preta; Natal; 000001500; 000180; 0004; 003; 04; 000000000003; 000000980000;11;16;5444;Zona Leste
Rua Doutor Antônio Severiano da Câmara;Lagoa Nova; Natal; 000000610; 000118; 0003; 003; 03; 000000000002; 000000547000;9;13;4635;Zona Sul  
Rua Anísio de Souza;Lagoa Nova; Natal; 000001200; 000090; 0003; 001; 02; 000000000002; 000000320000;6;15;3555;Zona Sul  
Rua Deputado Antônio Florêncio de Queiroz;Ponta Negra; Natal; 000000372; 000059; 0002; 001; 02; 000000000001; 000000275000;5;11;4661;Zona Sul  
Rua Acari;Lagoa Nova; Natal; 000000500; 000112; 0003; 002; 03; 000000000002; 000000550000;8;14;4910;Zona Sul  
Rua Francisco Maia Sobrinho, 49;Lagoa Nova; Natal; 000000800; 000264; 0004; 004; 04; 000000000005; 000001585000;12;22;6003;Zona Sul  
Rua Antônio Madruga;Capim Macio; Natal; 000000265; 000055; 0002; 001; 02; 000000000001; 000000275000;5;11;5000;Zona Sul  
Avenida Deputado Antônio Florêncio de Queiroz;Ponta Negra; Natal; 000000512; 000079; 0003; 001; 03; 000000000002; 000000417000;7;11;5278;Zona Sul  
Rua Padre João Damasceno;Lagoa Nova; Natal; 000000700; 000114; 0003; 003; 03; 000000000002; 000000625000;9;12;5482;Zona Sul  
Rua da Lagosta, 1285;Ponta Negra; Natal; 000001550; 000274; 0004; 004; 05; 000000000004; 000000900000;13;21;3284;Zona Sul  
Rua dos Tororós, 730;Lagoa Nova; Natal; 000000800; 000170; 0004; 004; 05; 000000000004; 000001050000;13;13;6176;Zona Sul  
Rua Henri Koster, 1029;Tirol; Natal; 000001200; 000165; 0004; 003; 04; 000000000003; 000001199000;11;15;7266;Zona Leste
Rua Eletricista Elias Ferreira, 2600;Candelária; Natal; 000000460; 000075; 0003; 001; 02; 000000000002; 000000370000;6;12;4933;Zona Sul  
Rua Ministro Miguel Seabra Fagundes, 62;Pitimbu; Natal; 000000250; 000056; 0002; 001; 02; 000000000001; 000000180000;5;11;3214;Zona Sul  
Rua Desembargador José Gomes da Costa, 1884;Capim Macio; Natal; 000000270; 000057; 0002; 001; 01; 000000000001; 000000245000;4;14;4298;Zona Sul  
Rua Neuza Farache, 1875;Capim Macio; Natal; 000000480; 000057; 0002; 001; 02; 000000000002; 000000320000;5;11;5614;Zona Sul  
Rua Beatriz Pinheiro, 1319;Barro Vermelho; Natal; 000001120; 000180; 0003; 003; 05; 000000000003; 000000790000;11;16;4388;Zona Leste
Rua Ismael Pereira da Silva;Capim Macio; Natal; 000000600; 000100; 0003; 003; 04; 000000000003; 000000598000;10;10;5980;Zona Sul  
Rua Doutor Renato Dantas;Petrópolis; Natal; 000000450; 000097; 0003; 001; 02; 000000000002; 000000520000;6;16;5360;Zona Leste
Rua Doutor José Bezerra;Barro Vermelho; Natal; 000000420; 000076; 0003; 001; 02; 000000000002; 000000464000;6;12;6105;Zona Leste
Avenida Porto de Pedras;Neópolis; Natal; 000000300; 000057; 0002; 001; 02; 000000000001; 000000210000;5;11;3684;Zona Sul  
Rua General Gustavo Cordeiro de Faria, 434;Petrópolis; Natal; 000001100; 000150; 0004; 002; 04; 000000000003; 000000760000;10;15;5066;Zona Leste
Rua Dom José Tomaz, 1025;Tirol; Natal; 000001600; 000269; 0004; 004; 06; 000000000004; 000001290000;14;19;4795;Zona Leste
Rua Doutor José Bezerra;Barro Vermelho; Natal; 000000420; 000069; 0002; 001; 02; 000000000002; 000000431000;5;13;6246;Zona Leste
Rua Capitão Abdon Nunes;Tirol; Natal; 000001100; 000154; 0003; 003; 04; 000000000003; 000000949000;10;15;6162;Zona Leste
Rua Capitão Abdon Nunes;Tirol; Natal; 000000700; 000104; 0003; 001; 02; 000000000002; 000000645000;6;17;6201;Zona Leste
Rua Pinto Martins;Areia Preta; Natal; 000001849; 000279; 0004; 004; 05; 000000000005; 000001660000;13;21;5949;Zona Leste
Rua Doutor José Bezerra;Barro Vermelho; Natal; 000000420; 000090; 0003; 001; 02; 000000000002; 000000522000;6;15;5800;Zona Leste
Rua Doutor José Bezerra;Barro Vermelho; Natal; 000000420; 000102; 0003; 001; 02; 000000000003; 000000610000;6;17;5980;Zona Leste
Rua General Gustavo Cordeiro de Faria, 434;Petrópolis; Natal; 000001100; 000150; 0004; 002; 04; 000000000003; 000000700000;10;15;4666;Zona Leste
Avenida Nascimento de Castro, 2455;Lagoa Nova; Natal; 000000650; 000160; 0004; 004; 02; 000000000003; 000000830000;10;16;5187;Zona Sul  
Rua Ismael Pereira da Silva, sn;Capim Macio; Natal; 000000500; 000058; 0001; 001; 01; 000000000002; 000000270000;3;19;4655;Zona Sul  
Rua Apodi, 402;Tirol; Natal; 000000600; 000112; 0003; 001; 03; 000000000002; 000000630000;7;16;5625;Zona Leste
Rua Potengi, 521;Petrópolis; Natal; 000000564; 000058; 0001; 001; 01; 000000000001; 000000160000;3;19;2758;Zona Leste
Rua Acari, 40;Lagoa Nova; Natal; 000000490; 000099; 0003; 002; 04; 000000000002; 000000440000;9;11;4444;Zona Sul  
Rua Coronel Costa Pinheiro, s/n;Tirol; Natal; 000000450; 000057; 0002; 001; 02; 000000000001; 000000260000;5;11;4561;Zona Leste
Rua Dom José Tomaz, 1025;Tirol; Natal; 000001600; 000269; 0004; 004; 06; 000000000004; 000001290000;14;19;4795;Zona Leste
Rua Antídio de Azevedo;Lagoa Nova; Natal; 000000980; 000166; 0004; 004; 04; 000000000003; 000001265000;12;13;7620;Zona Sul  
Rua Neuza Farache;Capim Macio; Natal; 000000480; 000058; 0002; 001; 02; 000000000002; 000000290000;5;11;5000;Zona Sul  
Rua Professor Moura Rabelo;Candelária; Natal; 000001500; 000310; 0004; 004; 06; 000000000003; 000000650000;14;22;2096;Zona Sul  
Avenida Xavier da Silveira, 1781;Tirol; Natal; 000001900; 000468; 0004; 004; 01; 000000000003; 000001000000;9;52;2136;Zona Leste
Rua Francisco Simplício;Ponta Negra; Natal; 000000480; 000094; 0003; 002; 03; 000000000002; 000000420000;8;11;4468;Zona Sul  
Rua Acari;Lagoa Nova; Natal; 000000490; 000099; 0003; 002; 04; 000000000002; 000000490000;9;11;4949;Zona Sul  
Rua Potengi, 344;Petrópolis; Natal; 000001800; 000263; 0004; 004; 06; 000000000002; 000000790000;14;18;3003;Zona Leste
Avenida Nascimento de Castro;Lagoa Nova; Natal; 000000580; 000113; 0003; 003; 05; 000000000003; 000000500000;11;10;4424;Zona Sul  
Rua General Gustavo Cordeiro de Farias;Petrópolis; Natal; 000001300; 000203; 0003; 003; 05; 000000000004; 000000990000;11;18;4876;Zona Leste
Rua Neuza Farache;Capim Macio; Natal; 000000480; 000058; 0002; 001; 02; 000000000002; 000000290000;5;11;5000;Zona Sul  
Rua Potengi;Petrópolis; Natal; 000001800; 000263; 0004; 004; 04; 000000000002; 000000790000;12;21;3003;Zona Leste
Rua José Mauro de Vasconcelos, 1915;Capim Macio; Natal; 000000330; 000065; 0003; 001; 02; 000000000001; 000000230000;6;10;3538;Zona Sul  
Rua Ângelo Varela, 1130;Tirol; Natal; 000001400; 000270; 0004; 004; 06; 000000000004; 000001400000;14;19;5185;Zona Leste
Rua José Mauro de Vasconcelos;Capim Macio; Natal; 000000330; 000065; 0003; 001; 02; 000000000001; 000000230000;6;10;3538;Zona Sul  
Rua Ataulfo Alves, 1898;Candelária; Natal; 000000400; 000065; 0002; 001; 02; 000000000001; 000000230000;5;13;3538;Zona Sul  
Rua Ângelo Varela, 1130;Tirol; Natal; 000001400; 000270; 0004; 004; 06; 000000000004; 000001400000;14;19;5185;Zona Leste
Rua Joaquim Fagundes, 701;Tirol; Natal; 000001100; 000191; 0003; 003; 05; 000000000003; 000001250000;11;17;6544;Zona Leste
Rua Antídio de Azevedo;Lagoa Nova; Natal; 000000980; 000164; 0004; 004; 04; 000000000003; 000001200000;12;13;7317;Zona Sul  
Rua Joaquim Fagundes, 701;Barro Vermelho; Natal; 000001500; 000191; 0003; 003; 05; 000000000003; 000001250000;11;17;6544;Zona Leste
Rua Água Marinha, 1980;Lagoa Nova; Natal; 000000400; 000080; 0003; 001; 02; 000000000002; 000000250000;6;13;3125;Zona Sul  
Rua Militão Chaves, 2059;Candelária; Natal; 000000320; 000110; 0004; 001; 03; 000000000002; 000000250000;8;13;2272;Zona Sul  
Rua Coronel Joaquim Manoel, 625;Petrópolis; Natal; 000000650; 000150; 0003; 001; 03; 000000000002; 000000390000;7;21;2600;Zona Leste
Rua Lauro Medeiros, 300;Lagoa Nova; Natal; 000000920; 000109; 0003; 003; 04; 000000000003; 000000550000;10;10;5045;Zona Sul  
Rua Mipibu, 757;Tirol; Natal; 000001100; 000178; 0004; 002; 04; 000000000002; 000000800000;10;17;4494;Zona Leste
Rua Tenente Olavo Francisco dos Santos;Ponta Negra; Natal; 000000480; 000131; 0003; 003; 03; 000000000002; 000000650000;9;14;4961;Zona Sul  
Rua Antônio Madruga;Capim Macio; Natal; 000000330; 000067; 0002; 001; 02; 000000000002; 000000373000;5;13;5567;Zona Sul  
Rua Sebastião Barreto;Neópolis; Natal; 000000330; 000057; 0002; 001; 02; 000000000001; 000000230000;5;11;4035;Zona Sul  
Avenida Campos Sales;Tirol; Natal; 000000910; 000215; 0004; 004; 06; 000000000003; 000001275000;14;15;5930;Zona Leste
