logradouro;bairro;cidade;taxa;Area;quartos;suites;banheiros;vagas;preco;somatorio_comodos;area_comodo;preco_area;Zona
;Capim Macio; Natal; 000000002; 000120; 0004; 002; 04; 000000000002; 000000616764;10;12;5139;Zona Sul  
;Capim Macio; Natal; 000000500; 000092; 0003; 001; 03; 000000000002; 000000500000;7;13;5434;Zona Sul  
;Barro Vermelho; Natal; 000000300; 000100; 0003; 002; 03; 000000000002; 000000210000;8;12;2100;Zona Leste
;Tirol; Natal; 000000400; 000098; 0003; 001; 03; 000000000002; 000000595000;7;14;6071;Zona Leste
;Tirol; Natal; 000001200; 000222; 0004; 004; 05; 000000000003; 000001300000;13;17;5855;Zona Leste
;Ponta Negra; Natal; 000000540; 000064; 0002; 001; 02; 000000000002; 000000285000;5;12;4453;Zona Sul  
;Tirol; Natal; 000000001; 000350; 0004; 004; 06; 000000000004; 000001680000;14;25;4800;Zona Leste
;Lagoa Nova; Natal; 000000001; 000054; 0002; 001; 02; 000000000001; 000000224993;5;10;4166;Zona Sul  
;Capim Macio; Natal; 000000240; 000128; 0003; 001; 02; 000000000002; 000000320000;6;21;2500;Zona Sul  
;Ponta Negra; Natal; 000000300; 000059; 0002; 001; 02; 000000000001; 000000280000;5;11;4745;Zona Sul  
;Candelária; Natal; 000000640; 000203; 0003; 001; 02; 000000000004; 000000220000;6;33;1083;Zona Sul  
;Ponta Negra; Natal; 000000650; 000056; 0001; 001; 01; 000000000001; 000000240000;3;18;4285;Zona Sul  
;Neópolis; Natal; 000000310; 000089; 0003; 001; 03; 000000000002; 000000340000;7;12;3820;Zona Sul  
;Ponta Negra; Natal; 000000300; 000060; 0002; 001; 01; 000000000001; 000000320000;4;15;5333;Zona Sul  
;Ponta Negra; Natal; 000000500; 000056; 0002; 001; 02; 000000000002; 000000470000;5;11;8392;Zona Sul  
;Ponta Negra; Natal; 000000360; 000035; 0001; 001; 01; 000000000001; 000000200000;3;11;5714;Zona Sul  
;Capim Macio; Natal; 000000500; 000087; 0003; 001; 01; 000000000001; 000000400000;5;17;4597;Zona Sul  
;PARNAMIRIM; Natal; 000000400; 000200; 0003; 003; 04; 000000000004; 000000650000;10;20;3250;Vazio     
;Petrópolis; Natal; 000001800; 000254; 0004; 004; 05; 000000000003; 000000800000;13;19;3149;Zona Leste
;Ponta Negra; Natal; 000001800; 000054; 0002; 001; 01; 000000000001; 000000300000;4;13;5555;Zona Sul  
;Tirol; Natal; 000000560; 000112; 0003; 002; 04; 000000000002; 000000610000;9;12;5446;Zona Leste
;Tirol; Natal; 000001200; 000220; 0004; 004; 01; 000000000002; 000000900000;9;24;4090;Zona Leste
;Ponta Negra; Natal; 000000400; 000055; 0002; 001; 02; 000000000001; 000000250000;5;11;4545;Zona Sul  
;Ponta Negra; Natal; 000000400; 000110; 0002; 001; 02; 000000000002; 000000450000;5;22;4090;Zona Sul  
;Lagoa Nova; Natal; 000000850; 000176; 0003; 002; 01; 000000000002; 000000530000;6;29;3011;Zona Sul  
;Barro Vermelho; Natal; 000000500; 000104; 0002; 001; 01; 000000000002; 000000370000;4;26;3557;Zona Leste
;Areia Preta; Natal; 000000880; 000123; 0003; 001; 01; 000000000002; 000000350000;5;24;2845;Zona Leste
;Lagoa Nova; Natal; 000000760; 000105; 0003; 003; 01; 000000000002; 000000480000;7;15;4571;Zona Sul  
;Petrópolis; Natal; 000001800; 000245; 0004; 004; 01; 000000000003; 000000950000;9;27;3877;Zona Leste
;Capim Macio; Natal; 000000300; 000067; 0002; 001; 01; 000000000002; 000000325000;4;16;4850;Zona Sul  
;Candelária; Natal; 000001270; 000230; 0005; 004; 01; 000000000004; 000000950000;10;23;4130;Zona Sul  
;Ponta Negra; Natal; 000000900; 000040; 0002; 001; 01; 000000000001; 000000215000;4;10;5375;Zona Sul  
;Ponta Negra; Natal; 000001450; 000280; 0004; 004; 01; 000000000004; 000000880000;9;31;3142;Zona Sul  
;Capim Macio; Natal; 000000315; 000058; 0002; 001; 01; 000000000001; 000000295000;4;14;5086;Zona Sul  
;Candelária; Natal; 000000750; 000213; 0003; 003; 01; 000000000003; 000000590000;7;30;2769;Zona Sul  
;Ponta Negra; Natal; 000000400; 000036; 0001; 001; 01; 000000000001; 000000250000;3;12;6944;Zona Sul  
;Ponta Negra; Natal; 000000315; 000052; 0002; 001; 01; 000000000001; 000000239000;4;13;4596;Zona Sul  
;Ponta Negra; Natal; 000000418; 000067; 0003; 001; 02; 000000000002; 000000319000;6;11;4761;Zona Sul  
;Tirol; Natal; 000000800; 000136; 0004; 002; 01; 000000000002; 000000699900;7;19;5146;Zona Leste
;Ponta Negra; Natal; 000000402; 000054; 0002; 001; 01; 000000000001; 000000180000;4;13;3333;Zona Sul  
;Petrópolis; Natal; 000001400; 000245; 0004; 004; 06; 000000000003; 000001080000;14;17;4408;Zona Leste
;Cidade Satelite; Natal; 000000280; 000055; 0002; 001; 01; 000000000001; 000000250000;4;13;4545;Vazio     
;Ponta Negra; Natal; 000000382; 000055; 0002; 001; 01; 000000000001; 000000185000;4;13;3363;Zona Sul  
;Ponta Negra; Natal; 000000250; 000056; 0002; 001; 02; 000000000001; 000000200000;5;11;3571;Zona Sul  
;PARNAMIRIM; Natal; 000000900; 000350; 0005; 005; 06; 000000000004; 000001800000;16;21;5142;Vazio     
;Ponta Negra; Natal; 000000600; 000038; 0001; 001; 01; 000000000001; 000000220000;3;12;5789;Zona Sul  
;Lagoa Nova; Natal; 000000250; 000060; 0002; 001; 02; 000000000001; 000000160000;5;12;2666;Zona Sul  
;PARNAMIRIM; Natal; 000000150; 000083; 0002; 001; 02; 000000000001; 000000150000;5;16;1807;Vazio     
;Planalto; Natal; 000000220; 000058; 0002; 001; 02; 000000000001; 000000150000;5;11;2586;Zona Sul  
;Capim Macio; Natal; 000000002; 000142; 0003; 003; 05; 000000000002; 000000730000;11;12;5140;Zona Sul  
;Tirol; Natal; 000001900; 000350; 0004; 004; 01; 000000000004; 000003150000;9;38;9000;Zona Leste
;Petrópolis; Natal; 000001100; 000130; 0005; 003; 03; 000000000003; 000000690000;11;11;5307;Zona Leste
;Petrópolis; Natal; 000000630; 000122; 0003; 002; 01; 000000000002; 000000478000;6;20;3918;Zona Leste
;Areia Preta; Natal; 000003456; 000424; 0005; 004; 02; 000000000004; 000003000000;11;38;7075;Zona Leste
;PARNAMIRIM; Natal; 000000230; 000052; 0002; 001; 02; 000000000002; 000000520000;5;10;10000;Vazio     
;PARNAMIRIM; Natal; 000000400; 000068; 0002; 001; 03; 000000000001; 000000220000;6;11;3235;Vazio     
;Barro Vermelho; Natal; 000000350; 000103; 0003; 001; 02; 000000000002; 000000615600;6;17;5976;Zona Leste
;Ponta Negra; Natal; 000000360; 000057; 0002; 001; 02; 000000000001; 000000235000;5;11;4122;Zona Sul  
;Petrópolis; Natal; 000001500; 000292; 0003; 003; 05; 000000000004; 000001200000;11;26;4109;Zona Leste
;Lagoa Nova; Natal; 000000980; 000166; 0004; 004; 04; 000000000003; 000001200000;12;13;7228;Zona Sul  
;Ponta Negra; Natal; 000000380; 000062; 0002; 001; 01; 000000000001; 000000276406;4;15;4458;Zona Sul  
;Tirol; Natal; 000000950; 000200; 0004; 002; 04; 000000000002; 000000400000;10;20;2000;Zona Leste
;Tirol; Natal; 000001500; 000242; 0004; 004; 01; 000000000003; 000001200000;9;26;4958;Zona Leste
;Candelária; Natal; 000001260; 000150; 0003; 001; 01; 000000000002; 000000700000;5;30;4666;Zona Sul  
;Candelária; Natal; 000000530; 000320; 0004; 002; 01; 000000000004; 000001500000;7;45;4687;Zona Sul  
;Candelária; Natal; 000001550; 000235; 0004; 004; 06; 000000000003; 000000960000;14;16;4085;Zona Sul  
;Ponta Negra; Natal; 000000373; 000056; 0002; 001; 01; 000000000001; 000000230000;4;14;4107;Zona Sul  
;Barro Vermelho; Natal; 000000600; 000097; 0003; 001; 02; 000000000002; 000000350000;6;16;3608;Zona Leste
;Petrópolis; Natal; 000001350; 000252; 0003; 001; 01; 000000000002; 000001500000;5;50;5952;Zona Leste
;Capim Macio; Natal; 000000350; 000077; 0003; 001; 01; 000000000001; 000000281300;5;15;3653;Zona Sul  
;Cidade Alta; Natal; 000000450; 000070; 0003; 001; 01; 000000000001; 000000220000;5;14;3142;Zona Leste
;Petrópolis; Natal; 000001700; 000320; 0003; 002; 01; 000000000002; 000001200000;6;53;3750;Zona Leste
;Petrópolis; Natal; 000001060; 000193; 0003; 003; 03; 000000000002; 000000500000;9;21;2590;Zona Leste
;Candelária; Natal; 000001500; 000300; 0003; 003; 04; 000000000002; 000000900000;10;30;3000;Zona Sul  
;Barro Vermelho; Natal; 000000690; 000097; 0003; 001; 03; 000000000002; 000000450000;7;13;4639;Zona Leste
;Ponta Negra; Natal; 000000350; 000056; 0002; 001; 01; 000000000001; 000000230000;4;14;4107;Zona Sul  
;Ponta Negra; Natal; 000000300; 000052; 0002; 001; 02; 000000000001; 000000240000;5;10;4615;Zona Sul  
;Tirol; Natal; 000000730; 000117; 0003; 003; 01; 000000000003; 000000670000;7;16;5726;Zona Leste
